ID_LOTE,FECHA_SIEMBRA,NO_ARBOLES,AREA_UM,ALT_LOTE,DIST_SURCOS,DIST_PLANTAS,DIBUJO_SIEMBRA,ANALISIS_QUIMICO,TIPO_SIEMBRA,INVITRO_O_CORMOCOLINO,PATRON_USADO,EDAD,PN_ANIO
3726,4/13/2013,10000,6.4,1276,2.5,2.5,TRESBOLILLO,SI,INTESIVO,CORMOCOLINO,DOMINICO-HARTON,10,1226
3709,2/26/2013,3400,2,1218,2.5,2.5,CUADRADO,NO,INTESIVO,CORMOCOLINO,DOMINICO-HARTON,6,2486
2050,8/10/2013,4122,3,1279,2.5,2.5,CUADRADO,NO,INTESIVO,CORMOCOLINO,DOMINICO-HARTON,4,5124
3744,6/20/2014,1888,1.7,26,2.6,2.6,TRESBOLILLO,NO,INTESIVO,CORMOCOLINO,HARTON,10,2487
3661,6/30/2013,1700,1.6,1220,2.5,2.5,CUADRADO,NO,INTESIVO,CORMOCOLINO,DOMINICO-HARTON,4,2543
3717,9/27/2013,8000,5,1175,2.5,2.5,CUADRADO,SI,INTESIVO,CORMOCOLINO,DOMINICO-HARTON,4,12133
3657,3/15/2014,5783,3,1332,2.5,2.5,CUADRADO,NO,INTESIVO,CORMOCOLINO,DOMINICO-HARTON,4,9235
2783,4/12/2013,3500,2.6,13,2.7,2.7,TRESBOLILLO,SI,INTESIVO,CORMOCOLINO,HARTON,15,5654
3634,3/8/2014,3200,2,1318,2.5,2.5,CUADRADO,NO,INTESIVO,CORMOCOLINO,DOMINICO-HARTON,6,5463
3669,7/10/2013,4690,2.9,1460,2.5,2.5,CUADRADO,NO,INTESIVO,CORMOCOLINO,DOMINICO-HARTON,6,8543
1967,7/18/2013,5500,4.95,330,3,3,TRESBOLILLO,NO,PERMANENTE,INVITRO,HARTON,5.232876712,10541
3616,5/21/2013,973,3,1285,2.5,2.5,CUADRADO,NO,INTESIVO,CORMOCOLINO,DOMINICO-HARTON,6,2241
2006,4/11/2014,550,0.495,385,3,3,TRESBOLILLO,NO,PERMANENTE,INVITRO,HARTON,2.210958904,1323
2175,11/24/2013,8000,5,17,2.7,2.7,TRESBOLILLO,NO,INTESIVO,CORMOCOLINO,HARTON,20,19415
1981,1/11/2013,550,0.495,142,3,3,TRESBOLILLO,NO,PERMANENTE,INVITRO,HARTON,3.202739726,1354
2037,7/19/2013,6000,3.35,1239,3,2.5,CUADRADO,NO,INTESIVO,CORMOCOLINO,DOMINICO-HARTON,2.5,15354
2021,1/11/2014,550,0.495,256,3,3,TRESBOLILLO,NO,PERMANENTE,INVITRO,HARTON,3.189041096,1554
1959,5/2/2014,8200,2.47,1487,2,1,CUADRADO,NO,PERMANENTE,CORMOCOLINO,DOMINICO-HARTON,2,25000
3154,6/6/2013,4000,2.7,1395,2.5,2.5,CUADRADO,NO,INTESIVO,CORMOCOLINO,DOMINICO-HARTON,6,12543
2005,2/12/2014,400,1,1300,4,4,CUADRADO,NO,PERMANENTE,CORMOCOLINO,DOMINICO,2,1345
1976,8/22/2013,550,0.495,462,3,3,TRESBOLILLO,NO,PERMANENTE,INVITRO,HARTON,2.104109589,1900
1979,10/31/2013,550,0.495,393,3,3,TRESBOLILLO,NO,PERMANENTE,INVITRO,HARTON,4.665753425,1900
1978,3/24/2013,1100,0.99,467,3,3,TRESBOLILLO,NO,PERMANENTE,INVITRO,HARTON,2.104109589,3850
2173,2/19/2014,4500,3.5,22,2.7,2.7,TRESBOLILLO,NO,INTESIVO,CORMOCOLINO,HARTON,15,15776
2789,12/23/2013,2200,7,1295,2.5,2.5,CUADRADO,NO,INTESIVO,CORMOCOLINO,DOMINICO-HARTON,6,8343
2044,2/22/2013,400,2,1950,4,4,CUADRADO,NO,INTESIVO,CORMOCOLINO,DOMINICO,3,1534
3722,8/18/2013,3200,2,1194,2.5,2.5,CUADRADO,SI,INTESIVO,CORMOCOLINO,DOMINICO-HARTON,9,12353
2008,3/27/2013,1100,0.99,1422,3,3,CUADRADO,NO,PERMANENTE,CORMOCOLINO,DOMINICO-HARTON,6,4313
1988,5/5/2014,1100,0.99,551,3,3,TRESBOLILLO,NO,PERMANENTE,INVITRO,HARTON,3.139726027,4531
1809,5/27/2014,500,1,1499,5,4,CUADRADO,NO,PERMANENTE,CORMOCOLINO,DOMINICO-HARTON,2.5,2246
1982,3/20/2013,1000,0.32,1408,2,1.6,TRESBOLILLO,SI,PERMANENTE,CORMOCOLINO,DOMINICO-HARTON,6,4500
1980,11/29/2013,4400,4,22,2,2,TRESBOLILLO,SI,PERMANENTE,CORMOCOLINO,HARTON,11,20000
3667,1/15/2013,2900,1.96,24,2.5,2.6,TRESBOLILLO,NO,INTESIVO,CORMOCOLINO,HARTON,16,13546
2756,4/26/2014,2600,2.25,41,2.7,2.7,TRESBOLILLO,SI,INTESIVO,CORMOCOLINO,HARTON,5,12350
1977,5/29/2013,2200,1.98,567,3,3,TRESBOLILLO,NO,PERMANENTE,INVITRO,HARTON,2.520547945,10554
2048,2/22/2014,1000,1,1764,3,3,TRESBOLILLO,NO,INTESIVO,CORMOCOLINO,DOMINICO-HARTON,3,5546
1962,5/29/2014,550,0.495,427,3,3,TRESBOLILLO,NO,PERMANENTE,INVITRO,HARTON,2.654794521,3245
3187,7/28/2013,500,0.45,1816,3,3,TRESBOLILLO,NO,INTESIVO,CORMOCOLINO,DOMINICO-HARTON,3,3154
3788,9/30/2013,5600,3.5,1243,2.5,2.5,TRESBOLILLO,SI,INTESIVO,CORMOCOLINO,DOMINICO-HARTON,30,38435
2039,1/16/2014,2500,1,62,2,2,CUADRADO,NO,INTESIVO,INVITRO,HARTON,13,18000
3622,4/14/2014,1700,1.6,1223,2.5,2.5,CUADRADO,NO,INTESIVO,CORMOCOLINO,DOMINICO-HARTON,5,12453
1964,12/27/2013,1100,0.99,332,3,3,TRESBOLILLO,NO,PERMANENTE,INVITRO,HARTON,4.726027397,8454
1961,6/3/2014,550,0.495,535,3,3,TRESBOLILLO,NO,PERMANENTE,INVITRO,HARTON,2.621917808,4243
1963,3/18/2013,200,0.8,1459,8,2,CUADRADO,NO,PERMANENTE,CORMOCOLINO,DOMINICO-HARTON,6,1547
1989,11/14/2013,550,0.495,157,3,3,TRESBOLILLO,NO,PERMANENTE,INVITRO,HARTON,3.134246575,4351
2041,4/24/2013,170,0.5,1262,4,4,TRESBOLILLO,NO,INTESIVO,CORMOCOLINO,DOMINICO,2,1354
2053,11/21/2013,1600,1,1231,2,2.5,TRESBOLILLO,NO,INTESIVO,CORMOCOLINO,DOMINICO-HARTON,4,13440
1975,6/15/2014,200,0.28,1855,2,7,TRESBOLILLO,NO,PERMANENTE,CORMOCOLINO,DOMINICO-HARTON,3,1700
1965,5/7/2013,1400,1,26,2.5,2.5,TRESBOLILLO,NO,PERMANENTE,INVITRO,HARTON,15,11969
2045,1/5/2014,300,0.37,1712,3.5,3.5,TRESBOLILLO,NO,INTESIVO,CORMOCOLINO,DOMINICO-HARTON,4,2654
2004,12/22/2013,150,0.21,1835,2,7,TRESBOLILLO,NO,PERMANENTE,CORMOCOLINO,DOMINICO-HARTON,3,1354
1966,3/6/2014,1100,0.99,475,3,3,TRESBOLILLO,NO,PERMANENTE,INVITRO,HARTON,2.208219178,10000
3658,7/27/2013,3500,2.75,24,2.7,2.7,TRESBOLILLO,NO,INTESIVO,CORMOCOLINO,HARTON,16,32447
1796,2/24/2013,1600,1,27,2.5,2.5,CUADRADO,NO,PERMANENTE,CORMOCOLINO,HARTON,3,15000
3671,1/25/2013,160,0.5,1100,3,3,CUADRADO,NO,INTESIVO,CORMOCOLINO,DOMINICO,4,1544
1987,1/13/2014,200,0.24,1666,3,4,TRESBOLILLO,NO,PERMANENTE,CORMOCOLINO,DOMINICO-HARTON,3,1952
2049,6/24/2013,200,0.24,1746,3,4,TRESBOLILLO,NO,INTESIVO,CORMOCOLINO,DOMINICO-HARTON,3,1988
1974,2/2/2014,1000,1,1186,2.5,2.5,CUADRADO,NO,PERMANENTE,CORMOCOLINO,DOMINICO-HARTON,5,10000
3644,4/30/2013,200,0.5,1222,4,4,TRESBOLILLO,NO,INTESIVO,CORMOCOLINO,DOMINICO,4,2015
2043,2/17/2013,8124,5.12,1299,2.5,2.5,TRESBOLILLO,SI,INTESIVO,CORMOCOLINO,DOMINICO-HARTON,7,81920
2170,2/18/2014,2133,1.3,1224,2,3,TRESBOLILLO,NO,INTESIVO,CORMOCOLINO,DOMINICO-HARTON,3,21600
2047,3/13/2014,6400,4,34,2.5,2.5,TRESBOLILLO,SI,INTESIVO,CORMOCOLINO,HARTON,21,65816
2784,2/1/2014,1600,1.21,1232,2.5,2.5,TRESBOLILLO,NO,INTESIVO,CORMOCOLINO,DOMINICO-HARTON,20,17600
3590,4/17/2013,1000,1,28,2.5,2.5,TRESBOLILLO,NO,INTESIVO,CORMOCOLINO,HARTON,1,11155
2035,11/10/2013,2000,1.5,12,2.7,2.7,TRESBOLILLO,NO,INTESIVO,CORMOCOLINO,HARTON,27,22310
1972,9/23/2013,2400,2,23,2.7,2.7,CUADRADO,NO,PERMANENTE,CORMOCOLINO,HARTON,11,27888
1810,5/18/2013,550,0.495,330,3,3,TRESBOLILLO,NO,PERMANENTE,INVITRO,HARTON,2.62739726,6550
1960,9/25/2013,1100,0.99,265,3,3,TRESBOLILLO,NO,PERMANENTE,INVITRO,HARTON,2.687671233,13150
2013,3/14/2014,100,0.12,1497,4,3,CUADRADO,NO,PERMANENTE,CORMOCOLINO,DOMINICO-HARTON,2,752
3635,1/10/2014,1000,0.8,11,2.7,2.7,TRESBOLILLO,NO,INTESIVO,CORMOCOLINO,HARTON,5,1354
3731,3/23/2014,10000,6.4,1266,2.5,2.5,TRESBOLILLO,SI,INTESIVO,CORMOCOLINO,DOMINICO-HARTON,10,134000
3739,1/10/2013,10000,6.4,1272,2.5,2.5,TRESBOLILLO,SI,INTESIVO,CORMOCOLINO,DOMINICO-HARTON,10,135000
2025,5/22/2013,500,0.5,1716,3,3,TRESBOLILLO,NO,PERMANENTE,CORMOCOLINO,DOMINICO-HARTON,3,4583
2038,3/17/2014,500,0.5,1692,3,3,TRESBOLILLO,NO,INTESIVO,CORMOCOLINO,DOMINICO-HARTON,3,7000
3801,8/7/2013,2500,1.5,1487,3,2,TRESBOLILLO,SI,INTESIVO,CORMOCOLINO,DOMINICO-HARTON,6,12533
3792,8/1/2013,6000,4,1348,3,2,TRESBOLILLO,SI,INTESIVO,CORMOCOLINO,DOMINICO-HARTON,10,84000
3797,7/14/2013,6600,4,1331,3,2,TRESBOLILLO,SI,INTESIVO,CORMOCOLINO,DOMINICO-HARTON,10,13548
2009,8/13/2013,60,0.01,969,3,3,CUADRADO,NO,PERMANENTE,INVITRO,DOMINICO-HARTON,15,900
2024,1/9/2013,600,0.64,1598,5,2,TRESBOLILLO,SI,PERMANENTE,CORMOCOLINO,DOMINICO-HARTON,5,9000
2758,12/6/2013,5250,4.2,1459,4,2,CUADRADO,NO,INTESIVO,CORMOCOLINO,DOMINICO-HARTON,6,65814
3188,5/3/2013,7500,4.9,18,3,3,TRESBOLILLO,SI,INTESIVO,CORMOCOLINO,HARTON,31,55434
3627,8/17/2013,400,0.36,1674,3,3,TRESBOLILLO,NO,INTESIVO,CORMOCOLINO,DOMINICO-HARTON,4,3514
3770,12/1/2013,4800,3,1357,2.5,2.5,CUADRADO,NO,INTESIVO,CORMOCOLINO,DOMINICO-HARTON,4,9548
3636,4/3/2014,500,0.45,1800,3,3,TRESBOLILLO,NO,INTESIVO,CORMOCOLINO,DOMINICO-HARTON,3,4545
3664,4/6/2013,300,0.27,1792,3,3,TRESBOLILLO,NO,INTESIVO,CORMOCOLINO,DOMINICO-HARTON,4,248
3775,11/7/2013,9200,7,1340,3,2.5,TRESBOLILLO,SI,INTESIVO,CORMOCOLINO,DOMINICO-HARTON,8,156400
3805,2/28/2013,6100,4.25,23,2.7,2.7,TRESBOLILLO,NO,INTESIVO,CORMOCOLINO,HARTON,21,105161
2007,8/28/2013,700,0.75,1828,3,3.5,CUADRADO,NO,PERMANENTE,CORMOCOLINO,DOMINICO,3,12240
3688,11/12/2013,800,0.72,1653,3,3,TRESBOLILLO,NO,INTESIVO,CORMOCOLINO,DOMINICO-HARTON,4,14000
2174,5/11/2013,500,1,1316,3,3,CUADRADO,NO,INTESIVO,CORMOCOLINO,HARTON,4,8800
3691,2/23/2013,1000,0.9,1782,3,3,TRESBOLILLO,NO,INTESIVO,CORMOCOLINO,DOMINICO-HARTON,4,17600
3700,5/9/2013,1000,1,1729,3,3,TRESBOLILLO,NO,INTESIVO,CORMOCOLINO,DOMINICO-HARTON,3,18000
3761,11/19/2013,1000,0.8,1654,2,4,TRESBOLILLO,NO,INTESIVO,CORMOCOLINO,DOMINICO-HARTON,3,18000
3713,6/17/2013,13600,10.2,1185,2.5,3,CUADRADO,NO,INTESIVO,CORMOCOLINO,DOMINICO-HARTON,2.41,244800
3633,4/2/2013,400,0.8,324,3,3,CUADRADO,NO,INTESIVO,CORMOCOLINO,HARTON,2,7500
2046,3/12/2014,500,0.6,1656,3,4,TRESBOLILLO,NO,INTESIVO,CORMOCOLINO,DOMINICO-HARTON,3,9800
3673,9/24/2013,40,0.34,1725,3,3,CUADRADO,NO,INTESIVO,INVITRO,HARTON,2,800
3687,4/27/2014,1000,1,1172,3,3,CUADRADO,SI,INTESIVO,CORMOCOLINO,HARTON,1,20000
3735,3/27/2014,2285,2.056,1408,3,3,CUADRADO,NO,INTESIVO,CORMOCOLINO,DOMINICO-HARTON,6,51000
3640,9/22/2013,800,0.96,1810,3,4,TRESBOLILLO,NO,INTESIVO,CORMOCOLINO,DOMINICO-HARTON,3,18000
3757,5/26/2013,650,0.4,1475,3,3,CUADRADO,NO,INTESIVO,CORMOCOLINO,DOMINICO-HARTON,2,15000
3783,5/24/2014,7000,7,1258,3,3,CUADRADO,NO,INTESIVO,CORMOCOLINO,DOMINICO-HARTON,4,167500
2782,1/3/2013,4000,5.5,1810,4,3,CUADRADO,SI,INTESIVO,CORMOCOLINO,DOMINICO,3,96000
2766,6/23/2013,5000,6,1437,6,2,CUADRADO,NO,INTESIVO,CORMOCOLINO,DOMINICO-HARTON,3,120000
3704,4/25/2014,650,0.78,1536,3,4,CUADRADO,NO,INTESIVO,CORMOCOLINO,DOMINICO-HARTON,2,18000
3810,1/4/2013,800,1,1654,3,4,TRESBOLILLO,NO,INTESIVO,CORMOCOLINO,DOMINICO-HARTON,2,23000
3609,5/28/2013,4900,6.86,1238,14,1,CUADRADO,NO,INTESIVO,CORMOCOLINO,DOMINICO-HARTON,3,141000
